Column1;Date;Case Number;ItemInCase;Language;Country;Repairability Index;Size;Model name;Year;General condition;Wash;Fabric;Fabric failure - Membrane delamination;Fabric failure - Leak through;Fabric failure - Wetting out;Fabric failure - Down leakage;Fabric failure - Fading;Fabric failure - Pilling;Fabric torn - Rips - Patchable;Fabric torn - Rips - Not patchable - 1 panel;Fabric torn - Rips - Not patchable - X panels;Fabric torn - Abrasion - Light;Fabric torn - Abrasion - Heavy - 1 panel;Fabric torn - Abrasion - Heavy - X panels;Fabric torn - Burn - Patchable - ;Fabric torn - Burn - Not patchable - 1 panel;Fabric torn - Burn - Not patchable - X panels;Fabric torn - Stain;Fabric torn - Membrane contamination - Light;Fabric torn - Membrane contamination - Heavy;Zipper failure - Zipper structureMain;Zipper failure - Zipper structureAll except main;Zipper failure - Zipper slider;Delamination - Press;Delamination - 70D Nylon;Delamination - Seam tape;Seam failure - Seam sewn non-WBW Membrane;Delamination - Seam sewn WBW Membrane;Delamination - Seam laminated;Other - Buckle;Known_issue;Repair solution;Repair Threshold;Customer Offer;Product_type;Age;Repair Threshold Status
379;12/18/19;1113325;1;EN;Australia;10;L;Biscay lt men;2017;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;3;Repair;shell;2;below
305;12/9/19;1113342;1;EN;Australia;10;S;Boreal ar jacket men;2018;2_Good;No;WBW 3L Membrane;right cuff, left cuff, ;;;;;;;lower left front panel, ;;;;;;;;;;;;;;;;;;;;;No;Yes;1003;Replacement;shell;1;above
300;12/9/19;1113361;1;EN;Australia;10;S;Boreal ar jacket women;2011;2_Good;No;WBW 3L Membrane;neck, ;;;;;;;;;;;;;;;;;neck, ;;;;all zippers, hood facing, pocket bags, lam pocket, ;all 70D,;both cuffs, pocketbag donuts, pit zip donuts, neck, ;;;;;No;Yes;1008;Replacement;shell;8;above
301;12/9/19;1113390;1;EN;Australia;10;S;Ionian ar jacket women;2004;0_Trashed;No;WBW 3L Membrane;arm pit, neck, shoulders, ;;;;;;;;;;;;;;;;;;main zipper, ;;;;all, ;neck, ;;;;;No;Yes;1008;30% Discount;shell;15;above
253;12/2/19;1113478;1;EN;Australia;10;L;Ionian ar jacket men;2008;2_Good;No;WBW 3L Membrane;lower right front panel, lower left front panel, ;;;;;;;lower back, ;;;;;;;;;;;main zipper, ;;;all zippers, laminated pocket, hood facing, cuffs lining, ;All 70D, including donuts inside pocket bags,;neck, arm pit, ;;;;;No;Yes;1014;30% Discount;shell;11;above
314;12/10/19;1113488;1;EN;Australia;10;L;Neptuna sv men;2005;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;Main zipper;;;collar, arm pocket, hood facing, ;;;;;;;No;Yes;6;Repair;shell;14;below
276;12/6/19;1113546;1;EN;Australia;10;M;Atlantis sl jacket women;2008;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;;neck, ;;;;;No;Yes;2;Replacement;shell;11;below
271;12/4/19;1113574;1;EN;Australia;10;S;Mediterranean lt women;2015;2_Good;No;K Fleece;;;;;;;;;;;;;;;;lower back, ;;;main zipper;;;;;;tuck and sew both cuffs, ;;;;No;Yes;3;Repair;shell;4;below
590;1/28/20;1113999;1;EN;Australia;2;L;Tasman lt women;2017;2_Good;No;Down Loft;;;;back seams,;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;3;above
517;1/17/20;1114038;1;EN;Australia;2;S;Bering sv jacket men;2013;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;both cuffs, ;;;;;;;;;main zipper, ;;;;;;;;No;No;7;50% Discount;shell;7;above
298;12/9/19;1114163;1;EN;Australia;10;S;Aegean ar jacket women;2007;2_Good;No;WBW 3L Membrane;;;;;;;;;;Front panels, ;;;;;;;;;main zipper, ;;;lining both cuffs, all zippers, hood facing;all 70D,;both cuffs, pocket bags donuts, ;;;;;No;Yes;11;30% Discount;shell;12;above
340;12/13/19;1114270;1;EN;Australia;10;L;Red jacket men;2013;2_Good;No;WBW 3L Membrane;arm pit both sides, ;;;;;;;;;;;;;;;;;;main zipper, ;;;;all, ;both cuffs, ;;;;;No;Yes;1008;Replacement;shell;6;above
313;12/10/19;1114337;1;EN;Australia;10;XL;Boreal ar jacket men;2009;1_Used;No;WBW 3L Membrane;hood, right arm pit zipper, left arm pit zipper, ;;;;;;;;;;;;;;;;;hood, neck, collar,;;;;lam pocket, pocket bags, neck pad,;all, ;neck, pocket bag donuts, arm pits,;;;;;No;Yes;1008;30% Discount;shell;10;above
303;12/9/19;1114613;1;EN;Australia;10;L;Ionian ar jacket men;2015;2_Good;No;WBW 3L Membrane;both cuffs, ;;;;;;;;;;;;;;;;;;;;main zipper, ;hood facing, ;;both cuffs, ;;;;;No;Yes;1006;Replacement;shell;4;above
378;12/18/19;1114705;1;EN;Australia;10;XL;Tasman lt women;2018;1_Used;No;Down Loft;;;;;;;;left shoulder,;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;1;below
